Date : 2024-11-06 20:01:39
Directory : /home/dana/Documents/Projects/Python/PyPlate
Total : 1316 files,  329224 codes, 23493 comments, 47021 blanks, all 399738 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      1,038 |    290,420 |     18,043 |     43,143 |    351,606 |
| JavaScript       |        113 |     25,734 |      2,397 |      2,771 |     30,902 |
| TeX              |         23 |      4,003 |      2,740 |        330 |      7,073 |
| XML              |          9 |      2,801 |          1 |          5 |      2,807 |
| CSS              |         32 |      2,673 |        546 |        533 |      3,752 |
| Markdown         |         11 |      1,809 |          0 |         83 |      1,892 |
| HTML             |         37 |      1,445 |         11 |        165 |      1,621 |
| TOML             |         16 |        199 |         18 |         37 |        254 |
| C                |          1 |        179 |          1 |         25 |        205 |
| Properties       |          3 |        141 |         12 |          9 |        162 |
| JSON             |          9 |        124 |          0 |          1 |        125 |
| reStructuredText |          6 |        121 |         20 |         43 |        184 |
| LaTeX            |          4 |         51 |         21 |          4 |         76 |
| pip requirements |          3 |         49 |          0 |          2 |         51 |
| Makefile         |          1 |         44 |          1 |         13 |         58 |
| Desktop          |          3 |        -10 |         -8 |         -3 |        -21 |
| Shell Script     |          5 |        -16 |        -60 |        -25 |       -101 |
| C++              |          2 |       -543 |       -250 |       -115 |       -908 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |      1,316 |    329,224 |     23,493 |     47,021 |    399,738 |
| . (Files)                                                                                                                                              |          4 |         35 |         -2 |        -58 |        -25 |
| .VSCodeCounter                                                                                                                                         |          5 |      1,447 |          0 |         26 |      1,473 |
| .VSCodeCounter/2024-09-29_10-54-55                                                                                                                     |          5 |      1,447 |          0 |         26 |      1,473 |
| .venv-pyplate                                                                                                                                          |      1,241 |    327,025 |     22,210 |     46,673 |    395,908 |
| .venv-pyplate/include                                                                                                                                  |          1 |       -370 |       -208 |        -63 |       -641 |
| .venv-pyplate/include/site                                                                                                                             |          1 |       -370 |       -208 |        -63 |       -641 |
| .venv-pyplate/include/site/python3.12                                                                                                                  |          1 |       -370 |       -208 |        -63 |       -641 |
| .venv-pyplate/include/site/python3.12/pygobject                                                                                                        |          1 |       -370 |       -208 |        -63 |       -641 |
| .venv-pyplate/include/site/python3.12/pygobject/pygobject-3.0                                                                                          |          1 |       -370 |       -208 |        -63 |       -641 |
| .venv-pyplate/lib                                                                                                                                      |      1,240 |    327,395 |     22,418 |     46,736 |    396,549 |
